img_path,label
drone\B_S2_D1_067-bebop_000_.png,drone
drone\B_S2_D1_067-bebop_001_.png,drone
drone\B_S2_D1_067-bebop_002_.png,drone
drone\B_S2_D1_067-bebop_003_.png,drone
drone\B_S2_D1_067-bebop_004_.png,drone
drone\B_S2_D1_068-bebop_000_.png,drone
drone\B_S2_D1_068-bebop_001_.png,drone
drone\B_S2_D1_068-bebop_002_.png,drone
drone\B_S2_D1_068-bebop_003_.png,drone
drone\B_S2_D1_068-bebop_004_.png,drone
drone\B_S2_D1_069-bebop_000_.png,drone
drone\B_S2_D1_069-bebop_001_.png,drone
drone\B_S2_D1_069-bebop_002_.png,drone
drone\B_S2_D1_069-bebop_003_.png,drone
drone\B_S2_D1_069-bebop_004_.png,drone
drone\B_S2_D1_070-bebop_000_.png,drone
drone\B_S2_D1_070-bebop_001_.png,drone
drone\B_S2_D1_070-bebop_002_.png,drone
drone\B_S2_D1_070-bebop_003_.png,drone
drone\B_S2_D1_070-bebop_004_.png,drone
drone\B_S2_D1_071-bebop_000_.png,drone
drone\B_S2_D1_071-bebop_001_.png,drone
drone\B_S2_D1_071-bebop_002_.png,drone
drone\B_S2_D1_071-bebop_003_.png,drone
drone\B_S2_D1_071-bebop_004_.png,drone
drone\B_S2_D1_072-bebop_000_.png,drone
drone\B_S2_D1_072-bebop_001_.png,drone
drone\B_S2_D1_072-bebop_002_.png,drone
drone\B_S2_D1_072-bebop_003_.png,drone
drone\B_S2_D1_072-bebop_004_.png,drone
drone\B_S2_D1_073-bebop_000_.png,drone
drone\B_S2_D1_073-bebop_001_.png,drone
drone\B_S2_D1_073-bebop_002_.png,drone
drone\B_S2_D1_073-bebop_003_.png,drone
drone\B_S2_D1_073-bebop_004_.png,drone
drone\B_S2_D1_074-bebop_000_.png,drone
drone\B_S2_D1_074-bebop_001_.png,drone
drone\B_S2_D1_074-bebop_002_.png,drone
drone\B_S2_D1_074-bebop_003_.png,drone
drone\B_S2_D1_074-bebop_004_.png,drone
drone\B_S2_D1_075-bebop_000_.png,drone
drone\B_S2_D1_075-bebop_001_.png,drone
drone\B_S2_D1_075-bebop_002_.png,drone
drone\B_S2_D1_075-bebop_003_.png,drone
drone\B_S2_D1_075-bebop_004_.png,drone
drone\B_S2_D1_076-bebop_000_.png,drone
drone\B_S2_D1_076-bebop_001_.png,drone
drone\B_S2_D1_076-bebop_002_.png,drone
drone\B_S2_D1_076-bebop_003_.png,drone
drone\B_S2_D1_076-bebop_004_.png,drone
drone\B_S2_D1_077-bebop_000_.png,drone
drone\B_S2_D1_077-bebop_001_.png,drone
drone\B_S2_D1_077-bebop_002_.png,drone
drone\B_S2_D1_077-bebop_003_.png,drone
drone\B_S2_D1_077-bebop_004_.png,drone
drone\B_S2_D1_078-bebop_000_.png,drone
drone\B_S2_D1_078-bebop_001_.png,drone
drone\B_S2_D1_078-bebop_002_.png,drone
drone\B_S2_D1_078-bebop_003_.png,drone
drone\B_S2_D1_078-bebop_004_.png,drone
drone\B_S2_D1_079-bebop_000_.png,drone
drone\B_S2_D1_079-bebop_001_.png,drone
drone\B_S2_D1_079-bebop_002_.png,drone
drone\B_S2_D1_079-bebop_003_.png,drone
drone\B_S2_D1_079-bebop_004_.png,drone
drone\B_S2_D1_080-bebop_000_.png,drone
drone\B_S2_D1_080-bebop_001_.png,drone
drone\B_S2_D1_080-bebop_002_.png,drone
drone\B_S2_D1_080-bebop_003_.png,drone
drone\B_S2_D1_080-bebop_004_.png,drone
drone\B_S2_D1_081-bebop_000_.png,drone
drone\B_S2_D1_081-bebop_001_.png,drone
drone\B_S2_D1_081-bebop_002_.png,drone
drone\B_S2_D1_081-bebop_003_.png,drone
drone\B_S2_D1_081-bebop_004_.png,drone
drone\B_S2_D1_082-bebop_000_.png,drone
drone\B_S2_D1_082-bebop_001_.png,drone
drone\B_S2_D1_082-bebop_002_.png,drone
drone\B_S2_D1_082-bebop_003_.png,drone
drone\B_S2_D1_082-bebop_004_.png,drone
drone\B_S2_D1_083-bebop_000_.png,drone
drone\B_S2_D1_083-bebop_001_.png,drone
drone\B_S2_D1_083-bebop_002_.png,drone
drone\B_S2_D1_083-bebop_003_.png,drone
drone\B_S2_D1_083-bebop_004_.png,drone
drone\B_S2_D1_084-bebop_000_.png,drone
drone\B_S2_D1_084-bebop_001_.png,drone
drone\B_S2_D1_084-bebop_002_.png,drone
drone\B_S2_D1_084-bebop_003_.png,drone
drone\B_S2_D1_084-bebop_004_.png,drone
drone\B_S2_D1_085-bebop_000_.png,drone
drone\B_S2_D1_085-bebop_001_.png,drone
drone\B_S2_D1_085-bebop_002_.png,drone
drone\B_S2_D1_085-bebop_003_.png,drone
drone\B_S2_D1_085-bebop_004_.png,drone
drone\B_S2_D1_086-bebop_000_.png,drone
drone\B_S2_D1_086-bebop_001_.png,drone
drone\B_S2_D1_086-bebop_002_.png,drone
drone\B_S2_D1_086-bebop_003_.png,drone
drone\B_S2_D1_086-bebop_004_.png,drone
drone\B_S2_D1_087-bebop_000_.png,drone
drone\B_S2_D1_087-bebop_001_.png,drone
drone\B_S2_D1_087-bebop_002_.png,drone
drone\B_S2_D1_087-bebop_003_.png,drone
drone\B_S2_D1_087-bebop_004_.png,drone
drone\B_S2_D1_088-bebop_000_.png,drone
drone\B_S2_D1_088-bebop_001_.png,drone
drone\B_S2_D1_088-bebop_002_.png,drone
drone\B_S2_D1_088-bebop_003_.png,drone
drone\B_S2_D1_088-bebop_004_.png,drone
drone\B_S2_D1_089-bebop_000_.png,drone
drone\B_S2_D1_089-bebop_001_.png,drone
drone\B_S2_D1_089-bebop_002_.png,drone
drone\B_S2_D1_089-bebop_003_.png,drone
drone\B_S2_D1_089-bebop_004_.png,drone
drone\B_S2_D1_090-bebop_000_.png,drone
drone\B_S2_D1_090-bebop_001_.png,drone
